,0,1,2,3,4,5,6,7,8,9,10
spread,"['BTC-USD', 'ETH-USD']","['BTC-USD', 'LTC-USD']","['BTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD']","['ETH-USD', 'SOL-USD']","['LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD']","['BTC-USD', 'ETH-USD', 'SOL-USD']","['BTC-USD', 'LTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD', 'SOL-USD']"
Total Net Profit,-4371.475973202148,-8052.7154763168655,-5645.049230631674,-436.28024520364124,-385.0586998692015,-1.5143958589760587,-5988.719062092947,-7706.611223360989,-7013.704530697898,-505.0480725768721,-5736.941264711553
Gross Profit,5605.759460586832,6297.692237703697,2919.7470889170645,471.5559198818411,425.41405674608836,13.210556521810686,6173.758639982466,8229.988946199905,7182.938101356059,437.13042322280813,13711.04353159568
Gross Loss,-9977.235433789172,-14350.40771401985,-8564.796319549072,-907.836165085395,-810.4727566146827,-14.724952380872015,-12162.477702075672,-15936.600169561021,-14196.642632053392,-942.1784958000496,-19447.984796306915
Percent Profitable,44.44444444444444,42.857142857142854,45.45454545454545,36.666666666666664,42.857142857142854,44.44444444444444,40.0,47.61904761904761,35.18518518518518,37.5,39.705882352941174
Winning Trades,8,12,10,11,12,8,12,20,19,18,27
Losing Trades,10,16,12,19,16,10,18,22,35,30,41
Avg. Trade Net Profit,-242.85977628900824,-287.59698129703094,-256.5931468468943,-14.542674840121375,-13.752096423900054,-0.0841331032764477,-199.62396873643155,-183.49074341335688,-129.88341723514625,-10.521834845351501,-84.36678330458166
Avg. Winning Trade,700.719932573354,524.8076864753081,291.9747088917064,42.86871998925828,35.451171395507366,1.6513195652263357,514.4798866652055,411.4994473099952,378.04937375558205,24.28502351237823,507.8164270961363
Avg. Losing Trade,-997.7235433789172,-896.9004821262406,-713.7330266290893,-47.780850793968156,-50.65454728841767,-1.4724952380872014,-675.6932056708706,-724.3909167982282,-405.6183609158112,-31.405949860001655,-474.34109259285157
Ratio Avg. Win:Avg. Loss,-0.7023187306979618,-0.5851348025047001,-0.40908112417143194,-0.897194572237923,-0.6998615779478774,-1.1214430597218301,-0.7614104779319153,-0.5680626824102134,-0.9320322011607575,-0.7732618698251005,-1.0705722844299685
Largest Winning Trade,3503.4042648376258,1741.0421500000052,609.3168699999991,113.0946299999999,137.3080799999997,5.352010000000005,3854.8930085048064,3275.3674940832084,1508.7189830740886,91.85941000000025,3572.378618373812
Largest Losing Trade,-3661.2556900000004,-3096.4366108114464,-2317.9064799999983,-204.75139000000013,-204.75139000000013,-6.277529999999993,-3753.273580000001,-3757.019830000001,-2317.9064799999983,-204.75139000000013,-3757.019830000001
Max. Consecutive Winning Trades,3,4,2,2,2,5,3,3,2,4,3
Max. Consecutive Losing Trades,3,4,3,6,4,3,4,3,5,6,6
Avg. Bars in Total Trades,8684,14860,9592,13958,12388,13302,11040,20067,19146,21807,27748
Avg. Bars in Winning Trades,4517,6960,4679,5563,5745,5487,5454,10202,7857,8072,12843
Avg. Bars in Losing Trades,4167,7900,4913,8395,6643,7815,5586,9865,11289,13735,14905
Max. Drawdown,5016.7148702890845,9600.772719514323,6468.8561337648425,521.0721383024938,444.3525088316528,12.207254477310926,6206.85401961219,8597.136495867278,9431.218087529065,554.9032187614357,8503.345038761385
