,0,1,2,3,4,5,6,7,8,9,10
spread,"['BTC-USD', 'ETH-USD']","['BTC-USD', 'LTC-USD']","['BTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD']","['ETH-USD', 'SOL-USD']","['LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD']","['BTC-USD', 'ETH-USD', 'SOL-USD']","['BTC-USD', 'LTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD', 'SOL-USD']"
Total Net Profit,-6561.2592231374,-11747.763721249066,-5821.169901275542,-685.8706965631573,-450.5848216958111,0.5154763025930151,-5418.57935296942,-4090.3843474554596,-5236.585635950789,-800.4709195238538,-4293.385338577442
Gross Profit,14988.702307206766,8299.506651256279,18440.169802334825,887.151030939275,1039.313807511943,36.677770433521026,18174.758856775665,24561.78128974141,20971.75451592615,1281.314985524812,33241.89358171608
Gross Loss,-21549.961530344717,-20047.270372504958,-24261.339703610112,-1571.0800084576156,-1489.8986292069978,-36.16229413120898,-23593.338209745572,-28652.165637196144,-26208.340151877972,-2081.785905047778,-37535.27892029339
Percent Profitable,45.45454545454545,37.5,45.23809523809524,32.075471698113205,41.66666666666667,55.769230769230774,44.0,47.43589743589743,43.75,45.55555555555556,43.75
Winning Trades,20,15,19,17,20,29,33,37,42,41,63
Losing Trades,24,25,23,35,28,23,42,41,54,49,81
Avg. Trade Net Profit,-149.11952779857728,-293.69409303122666,-138.59928336370336,-12.940956538927495,-9.387183785329398,0.009913005819096444,-72.24772470625894,-52.44082496737769,-54.54776704115405,-8.89412132804282,-29.815175962343346
Avg. Winning Trade,749.4351153603383,553.3004434170853,970.5352527544645,52.18535476113382,51.96569037559715,1.2647507046041733,550.7502683871413,663.8319267497678,499.32748847443213,31.251585012800295,527.6491044716838
Avg. Losing Trade,-897.9150637643633,-801.8908149001983,-1054.8408566787004,-44.88800024164616,-53.21066532882135,-1.5722736578786514,-561.7461478510851,-698.8333082242962,-485.33963244218467,-42.48542663362813,-463.3985051888073
Ratio Avg. Win:Avg. Loss,-0.8346392054260156,-0.6899947388547504,-0.9200774188917153,-1.1625680466985322,-0.9766029057233031,-0.8044087606928457,-0.9804255365061111,-0.949914548916586,-1.0288207578718882,-0.735583645712151,-1.1386508557180137
Largest Winning Trade,3113.514149528175,1695.1077400000086,4799.031990000001,142.22323000000034,160.8586013214717,3.7303900000000008,3421.04507861958,3601.4407121440786,2475.531909959504,142.22323000000034,3070.0493410347203
Largest Losing Trade,-3553.233820000003,-3500.1425954242895,-3901.9332619363972,-223.08304000000004,-229.6165,-11.59385,-3561.295750000003,-3561.295750000003,-2659.8641800000014,-229.6165,-3561.295750000003
Max. Consecutive Winning Trades,2,3,3,2,2,7,6,5,6,3,6
Max. Consecutive Losing Trades,5,6,4,7,4,3,8,5,6,4,7
Avg. Bars in Total Trades,18664,24653,20944,28877,28686,26163,33977,36450,40752,48912,67451
Avg. Bars in Winning Trades,8470,8311,10554,9459,11164,15055,16938,19139,19171,23051,31715
Avg. Bars in Losing Trades,10194,16342,10390,19418,17522,11108,17039,17311,21581,25861,35736
Max. Drawdown,6906.062649484607,13270.606091735419,7926.360604484566,740.4558872627094,524.279743836727,14.801447675796226,8582.145117975655,5207.622353149927,9537.924558050116,863.901250458206,7955.101488466724
