,0,1,2,3,4,5,6,7,8,9,10
spread,"['BTC-USD', 'ETH-USD']","['BTC-USD', 'LTC-USD']","['BTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD']","['ETH-USD', 'SOL-USD']","['LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD']","['BTC-USD', 'ETH-USD', 'SOL-USD']","['BTC-USD', 'LTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD', 'SOL-USD']"
Total Net Profit,-3590.8408951007295,3023.3156148528215,1657.6628212961368,-118.58491720864549,7.812216514372267,-21.16189954802394,-7647.35514774546,4361.969381792471,12844.679537016782,-51.03252440399956,-3856.8586112845223
Gross Profit,18385.724538541886,26940.56123108771,20853.680435700953,1147.696537838406,955.2544719328963,35.358970891128926,27381.530632790233,41763.32900364549,47182.02105263833,1734.1434581252297,39298.18646272406
Gross Loss,-21976.565433643376,-23917.245616235083,-19196.017614404565,-1266.281455047136,-947.4422554180887,-56.52087043955289,-35028.885780536075,-37401.35962185165,-34337.34151562184,-1785.175982528861,-43155.04507400899
Percent Profitable,45.45454545454545,44.230769230769226,50.0,52.083333333333336,45.83333333333333,50.0,53.086419753086425,54.629629629629626,48.57142857142857,52.22222222222223,54.54545454545454
Winning Trades,20,23,26,25,22,26,43,59,51,47,72
Losing Trades,24,29,26,23,26,26,38,49,54,43,60
Avg. Trade Net Profit,-81.6100203431984,58.140684901015796,31.878131178771863,-2.470519108513448,0.1627545107160889,-0.40695960669276804,-94.41179194747482,40.38860538696732,122.33028130492173,-0.5670280489333285,-29.21862584306456
Avg. Winning Trade,919.2862269270943,1171.3287491777266,802.0646321423444,45.90786151353623,43.42065781513165,1.3599604188895742,636.7797821579123,707.8530339600931,925.1376676987908,36.8966693218134,545.8081453156119
Avg. Losing Trade,-915.6902264018073,-824.7326074563822,-738.308369784791,-55.055715436831996,-36.440086746849566,-2.173879632290496,-921.8127836983177,-763.2930535071764,-635.8766947337377,-41.515720523927,-719.2507512334831
Ratio Avg. Win:Avg. Loss,-1.0039270928329305,-1.4202527444504793,-1.0863545165770472,-0.8338437008635093,-1.1915629651700976,-0.6255914074951149,-0.6907907911660202,-0.927367320726492,-1.4549010450621658,-0.8887397076620295,-0.7588565522935848
Largest Winning Trade,3217.9082104391514,5691.22480071296,3414.1699999999983,147.9699999999998,169.57999999999993,6.480000000000004,2911.0099999999948,3508.946411945494,3684.9621613097347,224.13999999999987,3148.929999999993
Largest Losing Trade,-3519.029999999999,-3084.6700000000055,-2828.114876689396,-214.07000000000016,-105.613529874208,-7.339999999999989,-4016.1199121239765,-2784.649999999994,-5038.86785209769,-257.84000000000015,-2919.720000000001
Max. Consecutive Winning Trades,3,4,3,5,4,6,5,4,5,5,6
Max. Consecutive Losing Trades,4,3,3,4,6,4,5,4,5,5,7
Avg. Bars in Total Trades,23288,24152,25212,23887,21146,23888,39650,46572,52590,40043,70048
Avg. Bars in Winning Trades,9614,9582,11223,11687,10582,11108,19097,23221,27257,22397,36871
Avg. Bars in Losing Trades,13674,14570,13989,12200,10564,12780,20553,23351,25333,17646,33177
Max. Drawdown,7811.1057360139675,8495.725486440351,8217.00105552096,547.0325837788405,316.5484366778983,24.10886714118533,8604.90850590961,7076.881417564349,8190.566486132098,648.0859421722125,8939.328880337533
