,0,1,2,3,4,5,6,7,8,9,10
spread,"['BTC-USD', 'ETH-USD']","['BTC-USD', 'LTC-USD']","['BTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD']","['ETH-USD', 'SOL-USD']","['LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD']","['BTC-USD', 'ETH-USD', 'SOL-USD']","['BTC-USD', 'LTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD', 'SOL-USD']"
Total Net Profit,-5114.23,-11684.61,-4411.51,-623.72,-518.45,3.11,-3585.26,-3839.62,-3659.34,-876.88,-2768.67
Gross Profit,12157.19,8244.05,14676.64,914.16,927.00,30.55,18035.29,21569.72,21161.13,925.55,27950.00
Gross Loss,-17271.42,-19928.66,-19088.15,-1537.88,-1445.45,-27.45,-21620.55,-25409.34,-24820.47,-1802.43,-30718.68
Percent Profitable,38.89,40.00,50.00,32.69,43.18,54.55,49.28,48.61,43.33,44.00,44.53
Winning Trades,14,16,17,17,19,24,34,35,39,33,57
Losing Trades,22,24,17,35,25,20,35,37,51,42,71
Avg. Trade Net Profit,-142.06,-292.12,-129.75,-11.99,-11.78,0.07,-51.96,-53.33,-40.66,-11.69,-21.63
Avg. Winning Trade,868.37,515.25,863.33,53.77,48.79,1.27,530.45,616.28,542.59,28.05,490.35
Avg. Losing Trade,-785.06,-830.36,-1122.83,-43.94,-57.82,-1.37,-617.73,-686.74,-486.68,-42.91,-432.66
Ratio Avg. Win:Avg. Loss,-1.11,-0.62,-0.77,-1.22,-0.84,-0.93,-0.86,-0.90,-1.11,-0.65,-1.13
Largest Winning Trade,3503.40,1695.11,4799.03,145.69,137.68,3.82,3665.25,3669.33,1811.42,142.22,3294.50
Largest Losing Trade,-3661.26,-3603.66,-3901.93,-223.08,-229.62,-6.28,-3661.26,-3661.26,-2317.91,-229.62,-3661.26
Max. Consecutive Winning Trades,2,3,3,2,3,5,6,5,6,3,6
Max. Consecutive Losing Trades,5,6,3,7,4,2,4,5,6,4,8
Avg. Bars in Total Trades,15836,24532,18264,28664,24126,22058,32721,33618,35313,40107,51624
Avg. Bars in Winning Trades,6832,9171,10175,9368,10447,12034,17714,18902,16213,18258,24967
Avg. Bars in Losing Trades,9004,15361,8089,19296,13679,10024,15007,14716,19100,21849,26657
Max. Drawdown,5306.10,13052.86,5843.94,676.69,603.99,12.21,7352.02,4532.57,7393.57,940.31,5821.59
