,0,1,2,3,4,5,6,7,8,9,10
spread,"['BTC-USD', 'ETH-USD']","['BTC-USD', 'LTC-USD']","['BTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD']","['ETH-USD', 'SOL-USD']","['LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD']","['BTC-USD', 'ETH-USD', 'SOL-USD']","['BTC-USD', 'LTC-USD', 'SOL-USD']","['ETH-USD', 'LTC-USD', 'SOL-USD']","['BTC-USD', 'ETH-USD', 'LTC-USD', 'SOL-USD']"
Total Net Profit,-6561.26,-11747.76,-5821.17,-685.87,-450.58,0.52,-5418.58,-4090.38,-5236.59,-800.47,-4293.39
Gross Profit,14988.70,8299.51,18440.17,887.15,1039.31,36.68,18174.76,24561.78,20971.75,1281.31,33241.89
Gross Loss,-21549.96,-20047.27,-24261.34,-1571.08,-1489.90,-36.16,-23593.34,-28652.17,-26208.34,-2081.79,-37535.28
Percent Profitable,45.45,37.50,45.24,32.08,41.67,55.77,44.00,47.44,43.75,45.56,43.75
Winning Trades,20,15,19,17,20,29,33,37,42,41,63
Losing Trades,24,25,23,35,28,23,42,41,54,49,81
Avg. Trade Net Profit,-149.12,-293.69,-138.60,-12.94,-9.39,0.01,-72.25,-52.44,-54.55,-8.89,-29.82
Avg. Winning Trade,749.44,553.30,970.54,52.19,51.97,1.26,550.75,663.83,499.33,31.25,527.65
Avg. Losing Trade,-897.92,-801.89,-1054.84,-44.89,-53.21,-1.57,-561.75,-698.83,-485.34,-42.49,-463.40
Ratio Avg. Win:Avg. Loss,-0.83,-0.69,-0.92,-1.16,-0.98,-0.80,-0.98,-0.95,-1.03,-0.74,-1.14
Largest Winning Trade,3113.51,1695.11,4799.03,142.22,160.86,3.73,3421.05,3601.44,2475.53,142.22,3070.05
Largest Losing Trade,-3553.23,-3500.14,-3901.93,-223.08,-229.62,-11.59,-3561.30,-3561.30,-2659.86,-229.62,-3561.30
Max. Consecutive Winning Trades,2,3,3,2,2,7,6,5,6,3,6
Max. Consecutive Losing Trades,5,6,4,7,4,3,8,5,6,4,7
Avg. Bars in Total Trades,18664,24653,20944,28877,28686,26163,33977,36450,40752,48912,67451
Avg. Bars in Winning Trades,8470,8311,10554,9459,11164,15055,16938,19139,19171,23051,31715
Avg. Bars in Losing Trades,10194,16342,10390,19418,17522,11108,17039,17311,21581,25861,35736
Max. Drawdown,6906.06,13270.61,7926.36,740.46,524.28,14.80,8582.15,5207.62,9537.92,863.90,7955.10
